Index,Title,Authors,Publishers,Reading status,Created date,Started date,Read date,Stopped date,Rating,Note1,Note2,Note3,Note4
65,쓸 만한 인간,박정민 ,상상출판,Done,2025-07-19,2025-07-19,2025-07-25,,4,,,,
66,편안함의 습격 - 편리와 효율  멸균과 풍족의 시대가 우리에게서 앗아간 것들에 관하여,마이클 이스터  김원진 ,수오서재,Reading,2025-07-30,2025-07-30,,,0,,,,
67,서랍에 저녁을 넣어 두었다 - 2024 노벨문학상 수상작가,한강 ,문학과지성사,Reading,2025-08-04,2025-08-04,,,0,,,,
68,작은 땅의 야수들 - 2024 톨스토이 문학상 수상작,김주혜  박소현 ,다산책방,Done,2025-08-04,2025-08-04,2025-08-16,,4,,,,
69,Lord of the Flies (Paperback  미국판  International),윌리엄 골딩 ,Penguin Classics,Reading,2025-08-04,2025-08-04,,,0,,,,
70,Orbital (Paperback) - 2024 부커상 수상작,서맨사 하비 ,Vintage Publishing,Reading,2025-08-04,2025-08-04,,,0,,,,
71,숨결이 바람 될 때 - 서른여섯 젊은 의사의 마지막 순간,폴 칼라니티  이종인 ,흐름출판,Done,2025-08-08,2025-08-08,2025-08-10,,5,,,,
72,돈의 속성 (400쇄 리커버 에디션),김승호 ,스노우폭스북스,Done,2025-08-12,2025-08-12,2025-09-01,,5,,,,
73,오춘실의 사계절,김효선 ,낮은산,Done,2025-08-30,2025-08-30,2025-08-30,,4,,,,
74,그 산이 정말 거기 있었을까 (박완서 X 이옥토 리커버 특별판) - 성년의 나날들,박완서 ,웅진지식하우스,Done,2025-09-01,2025-09-01,2025-09-06,,4.5,,,,
75,삶의 격 - 존엄성을 지키며 살아가는 방법,파스칼 메르시어  문항심 ,은행나무,Done,2025-09-02,2025-09-02,2025-09-14,,5,,,,
76,페르마의 마지막 정리,사이먼 싱  박병철 ,영림카디널,Reading,2025-09-07,2025-09-07,,,0,,,,
77,액스 - 박찬욱 감독 영화 어쩔 수가 없다 원작소설,도널드 웨스트레이크  최필원 ,오픈하우스,Done,2025-09-15,2025-09-15,2025-09-20,,3,,,,
78,버섯,로렌스 밀먼  에이미 진 포터  김은영 ,한길사,Reading,2025-09-17,2025-09-17,,,0,,,,
79,실패를 통과하는 일 - 비전  사람  돈을 둘러싼 어느 창업자의 기록,박소령 ,북스톤,Done,2025-09-27,2025-09-27,2025-10-03,,4.5,,,,
80,싯다르타,헤르만 헤세  박병덕 ,민음사,Reading,2025-10-02,2025-10-02,,,0,,,,
81,누운 배 - 제21회 한겨레문학상 수상작  개정판,이혁진 ,한겨레출판,Reading,2025-10-03,2025-10-03,,,0,,,,
